id,Standard/Label Name,birthYear,deathYear,birthYearIsApprox,geographyISO,firstName,middleName,lastName,B & P Author Abbrev.,Name
40190,J. E. Skog,1944.0,,False,US,Judith,E.,Skog,,"Skog, Judith E., Judith E. Skog, Judith E. Troop, Judith Troop Skog, Skog J. E."
17259,Li S. Wang,,,,CN,Li,Song,Wang,Li S. Wang,"Wang, Li Song"
45014,G. B. Newcomb,1930.0,,False,US,Gene,Blanchard,Newcomb,,"Newcomb, Gene Blanchard"
10301,A. L. S. Lejeune,1779.0,1858.0,False,"BE, FR",Alexandre,Louis Simon,Lejeune,,"Lejeune, Alexandre Louis Simon, Lejeune, A. L. S."
43870,J. Breidler,1828.0,1913.0,False,AT,Johann,,Breidler,Breidl.,"Breidler, Johann, Johann Breidler"
15116,J. Mackay,1772.0,1802.0,False,,John,,Mackay,,"Mackay, John"
76322,Satzyperova,1922.0,,False,,I.,F.,Satzyperova,Satzyp.,"Satzyperova, I. F., I. F. Satzyperova"
86672,K. Iwatsuki & S. K. Wu,,,,CN,Kunio & Wu,,Iwatsuki,,"Iwatsuki, Kunio & Wu, Su-kung"
89538,Harrison,,,,US,Harrison,,,,Harrison
1580,A. Murillo,1840.0,1899.0,False,CL,Adolfo,,Murillo,Murillo,"Murillo, Adolfo, Adolfo Murillo"
81606,Nehrling,1853.0,1929.0,False,US,Henry,,Nehrling,Nehrl.,"Nehrling, Henry, Henry Nehrling"
64597,Dowsett,,,,,J.,A.,Dowsett,Dowsett,"Dowsett, J. A., J. A. Dowsett"
76907,Otedoh,,,,,M.,O.,Otedoh,Otedoh,"Otedoh, M. O., M. O. Otedoh"
80877,Gullino,,,,,G.,,Gullino,Gullino,"Gullino, G., G. Gullino"
9299,H. Marks,,,,MX,Herman,,Marks,,"Marks, Herman, Marks, H."
63700,Bhagyanarayana,,,,,G.,,Bhagyanarayana,Bhagyan.,"Bhagyanarayana, G., G. Bhagyanarayana"
78004,M. K. Murphy,,,,,Margaret,K.,Murphy,M. K. Murphy,"Murphy, Margaret K., Margaret K. Murphy"
73087,G. J. Charles,1950.0,,False,,Graham,John,Charles,G. J. Charles,"Charles, Graham John, Graham John Charles"
44822,F. G. Kwankam,,,,,F.,G.,Kwankam,,"Kwankam, F. G., Kwan Kam, F. G."
886,C. C. Schmidel,1718.0,1792.0,False,"IT, CH, DE",Casimir,Christoph,Schmidel,Schmidel,"Schmidel, Casimir Christoph, Casimir Christoph Schmidel; Schmiedel"
62666,Zakaljabina,,,,,L.,G.,Zakaljabina,Zakal.,"Zakaljabina, L. G., L. G. Zakalyabina"
65347,W. D. Li,,,,,Wen,De,Li,W. D. Li,"Li, Wen De, Wen De Li"
66706,K. W. Mayrhofer,1806.0,1853.0,False,AT,Karl,Wilhelm,Mayrhofer,Mayrhofer,"Mayrhofer, Karl Wilhelm, Karl Wilhelm Mayrhofer"
74131,K. Fehlner,1859.0,1884.0,False,DE,Karl,,Fehlner,Fehln.,"Fehlner, Karl, C. Fehlner, Karl Fehlner"
81674,Selin,1813.0,1862.0,False,FI,Gustaf,,Selin,Selin,"Selin, Gustaf, Gustaf Selin"
24841,G. W. Moseley,,,,,G.,W.,Moseley,,"Moseley, G. W."
44229,Sir H. H. A. Nicholls,1851.0,1926.0,False,"LC, VC, DM",Henry,Alfred Alford,Nicholls,,"Nicholls, Sir Henry Alfred Alford"
65835,Ogawa,,,,,T.,,Ogawa,Ogawa,"Ogawa, T., T. Ogawa"
5481,A. J. Souter,1916.0,1976.0,False,,Alan,James,Souter,,"Souter, Alan James"
15414,A. E. Wight,,,,"BS, JM",Alexander,Este,Wight,,"Wight, Alexander Este"
12331,K. Mason,,,,PK,Kenneth,,Mason,,"Mason, Kenneth"
24165,L. B. Pedersen,,,,MY,Louise,B.,Pedersen,,"Pedersen, Louise B."
16394,S. H. Wilson,,,,US,S.,H.,Wilson,,"Wilson, S. H."
41131,C. L. Newman,,,,,C.,L.,Newman,,"Newman, C. L."
72097,Kostin,,,,,V.,A.,Kostin,Kostin,"Kostin, V. A., V. A. Kostin"
72499,N. Lund,1814.0,1847.0,False,"NO, VE",Nils,,Lund,N. Lund,"Lund, Nils (Nicolai), Nils (Nicolai) Lund"
16702,V. Vouk,1886.0,1962.0,False,,Vale,,Vouk,,"Vouk, Vale"
49151,P. D. Warrington,1942.0,,False,CA,Patrick,D.,Warrington,,"Warrington, Patrick D."
75742,Greenhall,,,,,Judith,M.,Greenhall,Greenhall,"Greenhall, Judith M., Judith M. Greenhall"
64800,H. Wilke,,,,,Hermann,,Wilke,H. Wilke,"Wilke, Hermann, Hermann Wilke"
32104,W. S. Hoover,,,,"ID, EC, TH, PG",W.,Scott,Hoover,,"Hoover, W. Scott"
36862,B. Bau,,,,PG,B.,,Bau,,"Bau, B."
35271,R. Molina-Cantos,1961.0,,False,ES,Rafael,,Molina-Cantos,,"Molina-Cantos, Rafael"
69680,Clavino,1875.0,,False,,Mario,,Clavino,Clavino,"Clavino, Mario, Mario Clavino"
64397,Escriche,1913.0,,False,,Manuel,,Escriche Esteban,Escriche,"Escriche Esteban, Manuel, Manuel Escriche Esteban"
62427,C. H. Hasse,1880.0,,False,,Clara,H.,Hasse,C. H. Hasse,"Hasse, Clara H., Clara H. Hasse"
771,A. von Haller,1758.0,1823.0,False,CH,Albrecht,von,Haller,Haller f.,"Haller, Albrecht von, Albrecht von Haller"
40108,Vachell,,,,,Vachell,,,,"Vachell,, Eleanor?"
34623,J. Sederholm,,,,SE,Johan,,Sederholm,,"Sederholm, Johan"
18828,T. M. Sperry,1907.0,1995.0,False,US,Theodore,Melrose,Sperry,,"Sperry, Theodore Melrose"
63195,M. E. Collinson,,,,,M.,E.,Collinson,M. E. Collinson,"Collinson, M. E., M. E. Collinson"
26938,M. Patten,,,,,M.,,Patten,,"Patten, M."
44492,M. Thurston,,,,EC,Micky,,Thurston,,"Thurston, Micky, Thurston, M."
81992,V. F. Nikolajev,,,,RU,V.,F.,Nikolajev,V. F. Nikolajev,"Nikolajev, V. F., V. F. Nikolajev; V. F. Nikolaev; V. F. Nikolaieff"
86806,Henry Richards,,,,US,Henry,,Richards,,"Richards, Henry"
32965,I. M. Tindall,1850.0,1928.0,False,,Isabella,Mary,Tindall,,"Tindall, Isabella Mary, ""Ella"""
76620,Lacoizqueta,1831.0,1891.0,False,ES,José,Maria de,Lacoizqueta,Lacoizq.,"Lacoizqueta, José Maria de, José Maria de Lacoizqueta"
42661,M. Albrecht,1821.0,,False,JP,Michael,,Albrecht,,"Albrecht, Michael"
88816,U. Scharf,1965.0,,False,"GY, DE, GF",Uwe,,Scharf,Scharf,"Scharf, Uwe, Uwe Scharf"
29839,J. Fariñas,,,,VE,José,,Farinas,,"Farinas, José, Farinas, José, Velásquez"
81406,J. P. Kociolek,1958.0,,False,"CN, IN, US",John,Patrick,Kociolek,Kociolek,"Kociolek, John Patrick, John Patrick Kociolek, Kociolek, Patrick"
75408,Pages,,,,ES,Xavier,,Pages,Pages,"Pages, Xavier, Xavier Pages"
7778,G. San,,,,MY,Gibot,,San,,"San, Gibot"
28715,H. N. Mertz,1846.0,1926.0,False,US,Henry,Ney,Mertz,,"Mertz, Henry Ney"
36939,J. M. S. Hare,,,,IN,J.,M. S.,Hare,,"Hare, J. M. S."
80590,Hosokawa,1909.0,,False,JP,Takahide,,Hosokawa,Hosok.,"Hosokawa, Takahide, Takahide Hosokawa"
41381,F. W. Smith,,,,,F.,W.,Smith,,"Smith, F. W."
11373,G. T. Velasques,1901.0,,False,,Gregorio,Tiongson,Velasques,,"Velasques, Gregorio Tiongson, Velazquez"
77282,Popp,,1892.0,,DE,Bonifaz,,Popp,Popp,"Popp, Bonifaz, Bonifaz Popp"
81105,Peabody,,,,,F.,J.,Peabody,Peabody,"Peabody, F. J., F. J. Peabody"
12312,B. B. Le Tall,1858.0,1906.0,False,,Benjamin,Bower,Le Tall,,"Le Tall, Benjamin Bower"
61509,Porto,1889.0,,False,BR,Paulo,Campos,Porto,Porto,"Porto, Paulo Campos, Paulo Campos Porto; Campos Porto"
79461,Elders,,,,,M.,C. C.,Elders,Elders,"Elders, M. C. C., M. C. C. Elders"
44466,G. M. Emrick,,1906.0,,MX,George,Monroe,Emrick,,"Emrick, George Monroe"
50380,A.-A. Al-Juwayed,1959.0,,False,SA,Abdul-Aziz,,Al-Juwayed,,"Al-Juwayed, Abdul-Aziz"
67853,Chin Sung Chang,1959.0,,False,"KR, US",Chin-Sung,,Chang,Chin S. Chang,"Chang, Chin-Sung, Chin-Sung Chang"
90102,R. H. Daily,,,,CA,R.,H.,Daily,,"Daily, R. H."
9941,S. M. Stocker,,,,US,S.,M.,Stocker,,"Stocker, S. M."
38240,J. S. Baagoe,1838.0,1905.0,False,"NO, DK",Johannes,Schönberg,Baagoe,Baagoe,"Baagoe, Johannes Schönberg, Johannes Schonberg Baagoe"
67934,Schaub,,,,,Hans,,Schaub,Schaub,"Schaub, Hans, Hans Schaub"
38254,Ninghul,,,,MY,Ninghul,,,,"Ninghul, N(h)ing(g)hul(l)"
60479,E. A. Nam,,,,,E.,A.,Nam,E. A. Nam,"Nam, E. A., E. A. Nam"
49102,U. Wündisch,,,,CN,U.,,Wuendisch,,"Wuendisch, U."
4244,C. Schwanecke,1821.0,1916.0,False,DE,Carl,,Schwanecke,Schwan.,"Schwanecke, Carl, Carl Schwanecke"
26032,A. M. Nives-Rivera,,,,,A.,M.,Nives-Rivera,Nives-Rivera,"Nives-Rivera, A. M., A. M. Nives-Rivera"
66695,Dininno,,,,,V.,,Dininno,Dininno,"Dininno, V., V. Dininno"
87439,A. Ayel,1920.0,2004.0,False,,Antoine,,Ayel,Ayel,"Ayel, Antoine, Antoine Ayel"
31295,J. K. McMorine,,,,"CA, US",J.,K.,McMorine,,"McMorine, J. K."
78089,Engelhard,,,,,A.,W.,Engelhard,Engelhard,"Engelhard, A. W., A. W. Engelhard"
71192,G. H. Johnstone,1881.0,1960.0,False,,George,Henry,Johnstone,G. H. Johnstone,"Johnstone, George Henry, George Henry Johnstone"
71702,O. A. Pratt,,,,,O.,A.,Pratt,O. A. Pratt,"Pratt, O. A., O. A. Pratt"
23100,N. E. Schroeder,,,,US,Nancy,E.,Schroeder,,"Schroeder, Nancy E."
40523,J. Jahn,,,,CZ,Josef,,Jahn,,"Jahn, Josef"
11732,V. M. Gruber,,,,CN,[Miss],V. M.,Grubb,,"Grubb, Miss V. M., Miss V. M. Gruber"
10884,Rafamanantsoa,,,,MG,Rafamanantsoa,,,,Rafamanantsoa
4231,C. Lopez,,,,MX,Carmen,,Lopez,,"Lopez, Carmen"
2145,E. Stolle,1868.0,1940.0,False,DE,Emil,,Stolle,Stolle,"Stolle, Emil, Emil Stolle"
35091,J. Wylie,1849.0,1927.0,False,,James,,Wylie,,"Wylie, James"
21792,M. T. Smith,1940.0,,False,NL,M.,Th.,Smith,,"Smith, M. Th."
61326,Stoelzel,,,,,Victoria,A.,Stoelzel,Stoelzel,"Stoelzel, Victoria A., Victoria A. Stoelzel"
4608,Hoose,,,,,Hoose,,,,Hoose
44623,C. Lefèbvre,1941.0,,False,BE,Claude,,Lefèbvre,,"Lefèbvre, Claude"
11737,George Graham,,,,US,George,,Graham,,"Graham, George"
26812,S. a. S. Makki,1932.0,,False,IQ,Sidqi-ash-Sharbati,,Makki,,"Makki, Sidqi-ash-Sharbati"
71048,Theilade,,,,DK,ida,,Theilade,Theilade,"Theilade, ida, Ida Theilade"
66088,A. I. Gomes,1816.0,1843.0,False,,Antonio,Ildefonso,Gomes,A. I. Gomes,"Gomes, Antonio Ildefonso, Antonio Ildefonso Gomes"
63032,Vegetti,,,,AR,Abelardo,,Vegetti,Vegetti,"Vegetti, Abelardo, A. Vegetti"
61831,Marmolejo,,,,,J.,G.,Marmolejo,Marm.,"Marmolejo, J. G., J. G. Marmolejo"
73417,Redfern,,,,,D.,B.,Redfern,Redfern,"Redfern, D. B., D. B. Redfern"
82122,Baltet,1830.0,1908.0,False,,Charles,,Baltet,Baltet,"Baltet, Charles, Charles Baltet"
24320,A. N. Railonsala,1902.0,1982.0,False,FI,Artturi,Nikodemus,Railonsala,Rail.,"Railonsala, Artturi Nikodemus, Artturi Nikodemus Railonsala"
46693,G. Saporta,1823.0,1895.0,False,FR,{Louis,Charles Joseph} Gaston,Saporta,,"Saporta, {Louis Charles Joseph} Gaston, Marquis de, Saporta, Louis Charles Joseph Gaston, Marquis de"
78583,Bailey-Watts,,,,,A.,E.,Bailey-Watts,Bailey-Watts,"Bailey-Watts, A. E., A. E. Bailey-Watts"
29856,J. A. Domínguez,,,,AR,J.,A.,Domínguez,,"Domínguez, J. A."
37837,P. C. Mangelsdorf,1899.0,1989.0,False,,Paul,Christoph,Mangelsdorf,Mangelsd.,"Mangelsdorf, Paul Christoph, Paul Christoph Mangelsdorf"
27408,W. Hancocke,,,,IN,W.,,Hancocke,,"Hancocke, W."
23831,M. Schalberg,,,,,Schalberg,,,,"Schalberg, Mrs."
15985,K. Terren,,,,US,Kenwood,,Terren,,"Terren, Kenwood"
31918,R. Haase,,,,BO,R.,,Haase,,"Haase, R."
25711,Herb. M. Richards,1871.0,1928.0,False,US,Herbert,Maule,Richards,H.Richards,"Richards, Herbert Maule, Herbert Maule Richards, Richards, H. M., H. M. Richards"
28238,P. C. Rao,1963.0,,False,"CN, FI",Peng-Cheng,,Rao,P. C. Rao,"Rao, Peng-Cheng, Peng-Cheng Rao, Rao, P.-C."
74233,A. H. Church,1865.0,1937.0,False,,Arthur,Henry,Church,A. H. Church,"Church, Arthur Henry, Arhtur Henry Church"
72493,M. Lebouvier,,,,FR,Mark,,Lebouvier,M. Lebouvier,"Lebouvier, Mark, Mark Lebouvier"
80201,Koch,1759.0,1831.0,False,DE,Johann,Friedrich Wilhelm,Koch,Koch,"Koch, Johann Friedrich Wilhelm, Johann Friedrich Wilhelm Koch"
80834,K. Samejima,1927.0,,False,,Kazuko,,Samejima,K. Samej.,"Samejima, Kazuko, Kazuko Samejima"
82490,Buzzati-Traverso,,,,,Adriano,,Buzzati-Traverso,Buzz.-Trav.,"Buzzati-Traverso, Adriano, Adriano Buzzati-Traverso"
25800,G. L. Esteves,1955.0,,False,BR,Gerleni,Lopes,Esteves,G. L. Esteves,"Esteves, Gerleni Lopes, Esteves, G. L., Gerleni Lopes Esteves"
20233,E. R. Thorp,,,,ZA,E.,R.,Thorp,,"Thorp, E. R."
13098,J. E. Rombouts,,,,BR,J.,E.,Rombouts,,"Rombouts, J. E."
32982,D. Castillo de Vasquez,1956.0,,False,DO,Daysi,,Castillo de Vasquez,,"Castillo de Vasquez, Daysi"
12388,H. L. Gerth van Wijk,,,,"AR, PY",H.,L.,Gerth van Wijk,,"Gerth van Wijk, H. L."
39424,E. H. C. McKenzie,1946.0,,False,NZ,Eric,H. C.,McKenzie,McKenzie,"McKenzie, Eric H. C., Eric H. C. McKenzie, Eric H.C. McKenzie"
31902,W. E. Lockhart,,,,,William,E.,Lockhart,,"Lockhart, William E."
28799,K. Björklund,1908.0,,False,FI,Karin,,Björklund,K. Björklund,"Björklund, Karin, Karin Björklund"
66800,Normatova,,,,,R.,,Normatova,Normatova,"Normatova, R., R. Normatova"
29129,P. J. Mathew,1955.0,,False,IN,P.,J.,Mathew,,"Mathew, P. J."
9360,O. Seemann,,,,,Oswald,,Seemann,,"Seemann, Oswald"
